Customer ID,Age,Gender,Category,Purchase Amount (USD),Location,Size,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Previous Purchases,Frequency of Purchases,Purchase_Bin
1,55,1,Clothing,53,Kentucky,L,Winter,3.1,1,Credit Card,Express,1,14,Fortnightly,Medium
2,19,1,Clothing,64,Maine,L,Winter,3.1,1,Bank Transfer,Express,1,2,Fortnightly,Medium
3,50,1,Clothing,73,Massachusetts,S,Spring,3.1,1,Cash,Free Shipping,1,23,Weekly,Medium
4,21,1,Footwear,90,Rhode Island,M,Spring,3.5,1,PayPal,Next Day Air,1,49,Weekly,High
5,45,1,Clothing,49,Oregon,M,Spring,2.7,1,Cash,Free Shipping,1,31,Annually,Medium
6,46,1,Footwear,20,Wyoming,M,Summer,2.9,1,Venmo,Standard,1,14,Weekly,Low
7,63,1,Clothing,85,Montana,M,Fall,3.2,1,Debit Card,Free Shipping,1,49,Quarterly,High
8,27,1,Clothing,34,Louisiana,L,Winter,3.2,1,Debit Card,Free Shipping,1,19,Weekly,Low
9,26,1,Outerwear,97,West Virginia,L,Summer,2.6,1,Venmo,Express,1,8,Annually,High
10,57,1,Accessories,31,Missouri,M,Spring,4.8,1,PayPal,2-Day Shipping,1,4,Quarterly,Low
11,53,1,Footwear,34,Arkansas,L,Fall,4.1,1,Credit Card,Store Pickup,1,26,Bi-Weekly,Low
12,30,1,Clothing,68,Hawaii,S,Winter,4.9,1,PayPal,Store Pickup,1,10,Fortnightly,Medium
13,61,1,Outerwear,72,Delaware,M,Winter,4.5,1,PayPal,Express,1,37,Fortnightly,Medium
14,65,1,Clothing,51,New Hampshire,M,Spring,4.7,1,Debit Card,Express,1,31,Weekly,Medium
15,64,1,Outerwear,53,New York,L,Winter,4.7,1,PayPal,Free Shipping,1,34,Weekly,Medium
16,64,1,Clothing,81,Rhode Island,M,Winter,2.8,1,Credit Card,Store Pickup,1,8,Monthly,High
17,25,1,Accessories,36,Alabama,S,Spring,4.1,1,Venmo,Next Day Air,1,44,Bi-Weekly,Low
18,53,1,Clothing,38,Mississippi,XL,Winter,4.7,1,Debit Card,2-Day Shipping,1,36,Quarterly,Low
19,52,1,Clothing,48,Montana,S,Summer,4.6,1,Bank Transfer,Free Shipping,1,17,Weekly,Medium
20,66,1,Clothing,90,Rhode Island,M,Summer,3.3,1,Venmo,Standard,1,46,Bi-Weekly,High
21,21,1,Clothing,51,Louisiana,M,Winter,2.8,1,Credit Card,Express,1,50,Every 3 Months,Medium
22,31,1,Clothing,62,North Carolina,M,Winter,4.1,1,Credit Card,Store Pickup,1,22,Quarterly,Medium
23,56,1,Clothing,37,California,M,Summer,3.2,1,Cash,Store Pickup,1,32,Annually,Low
24,31,1,Clothing,88,Oklahoma,XL,Winter,4.4,1,Credit Card,Express,1,40,Weekly,High
25,18,1,Outerwear,22,Florida,M,Fall,2.9,1,Cash,Store Pickup,1,16,Weekly,Low
26,18,1,Clothing,25,Texas,M,Summer,3.6,1,Bank Transfer,Express,1,14,Annually,Low
27,38,1,Accessories,20,Nevada,M,Spring,3.6,1,Cash,Next Day Air,1,13,Annually,Low
28,56,1,Clothing,56,Kentucky,L,Summer,5.0,1,Debit Card,Next Day Air,1,7,Every 3 Months,Medium
29,54,1,Accessories,94,North Carolina,M,Fall,4.4,1,Debit Card,Free Shipping,1,41,Every 3 Months,High
30,31,1,Clothing,48,Wyoming,S,Fall,4.1,1,Venmo,Store Pickup,1,14,Weekly,Medium
31,57,1,Accessories,31,North Carolina,L,Winter,4.7,1,Bank Transfer,Standard,1,16,Monthly,Low
32,33,1,Clothing,79,West Virginia,L,Winter,4.7,1,Venmo,Store Pickup,1,45,Monthly,High
33,36,1,Outerwear,67,Kansas,M,Summer,4.9,1,Bank Transfer,Free Shipping,1,37,Annually,Medium
